Format=7,5610,,,Right Foot,,,,,,,,,,,5611,,,Left Foot,,,,,,,,,,,5617,,,Lumbar,,,,,,,,,,
Time,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,
,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z
1588061834515232,9.985656,-0.286407,-1.093972,0.015858,-0.000164,0.026950,-32.166508,-13.086328,3.076266,4636847653760532500.000000,0.010891,0.745085,-0.028594,0.666267,10.054885,0.972577,-1.098666,0.005692,0.014954,0.009965,-30.342463,-13.728831,4.660017,4636846902141255700.000000,0.113054,0.738043,-0.042793,0.663838,0.303155,-0.049506,-9.901557,-0.002077,0.005222,0.000000,-17.786186,-19.292433,13.391521,4636846580018708500.000000,0.015703,0.273248,-0.961791,0.006909
1588061834523044,9.976270,-0.265741,-1.081766,0.013886,-0.001315,0.025636,-32.133659,-13.249692,3.113807,4636847653760532500.000000,0.010840,0.745082,-0.028585,0.666272,10.067092,0.968401,-1.098666,0.001757,0.014954,0.008897,-30.262154,-13.762238,4.658734,4636846902141255700.000000,0.113038,0.738014,-0.042794,0.663872,0.269238,-0.059687,-9.922593,-0.001127,0.003204,0.000000,-17.777409,-19.382602,13.392197,4636846580018708500.000000,0.015700,0.273251,-0.961790,0.006908
1588061834530856,9.970625,-0.299538,-1.074252,0.013065,0.001232,0.025636,-32.085747,-13.322055,3.173925,4636847653760532500.000000,0.010791,0.745072,-0.028578,0.666285,10.062918,0.956196,-1.090477,-0.000717,0.014954,0.009978,-30.425939,-13.851691,4.495577,4636846902141255700.000000,0.113026,0.737984,-0.042805,0.663907,0.282800,-0.037975,-9.889350,-0.002018,0.003204,0.000000,-17.627491,-19.544052,13.398317,4636846580018708500.000000,0.015699,0.273253,-0.961789,0.006903
1588061834538668,9.976275,-0.324909,-1.083632,0.011750,0.002794,0.025636,-32.093262,-13.208471,3.098877,4636847653760532500.000000,0.010747,0.745057,-0.028575,0.666302,10.042522,0.952177,-1.094648,-0.000352,0.014238,0.010681,-30.612762,-13.822493,4.357583,4636846974173097000.000000,0.113011,0.737957,-0.042817,0.663939,0.319413,-0.059690,-9.913085,0.000000,0.003204,0.000059,-17.631532,-19.544052,13.306069,4636846580018708500.000000,0.015696,0.273256,-0.961789,0.006906
1588061834546480,9.970619,-0.289259,-1.112733,0.009698,0.002547,0.026046,-32.121396,-13.045107,2.978606,4636847653760532500.000000,0.010707,0.745043,-0.028578,0.666318,10.042674,0.952177,-1.090478,0.000000,0.010303,0.009248,-30.615865,-13.679723,4.386931,4636847009515438100.000000,0.112998,0.737939,-0.042826,0.663960,0.351994,-0.036622,-9.923272,-0.000059,0.003263,0.001009,-17.705449,-19.544052,13.316171,4636846580018708500.000000,0.015693,0.273255,-0.961789,0.006909
1588061834554292,9.980968,-0.248836,-1.121225,0.004768,0.002384,0.026294,-32.166508,-12.939848,3.016110,4636847653760532500.000000,0.010681,0.745030,-0.028595,0.666332,10.030316,0.943989,-1.070082,0.000000,0.011411,0.009262,-30.534434,-13.623462,4.558281,4636847009515438100.000000,0.112986,0.737919,-0.042834,0.663984,0.316720,-0.036622,-9.897516,-0.001068,0.004155,0.000235,-17.781482,-19.548756,13.494557,4636846580018708500.000000,0.015694,0.273256,-0.961788,0.006908
1588061834562104,9.982824,-0.265730,-1.093979,0.003367,0.002709,0.025636,-32.166508,-12.939848,3.109077,4636847653760532500.000000,0.010661,0.745015,-0.028613,0.666348,10.030465,0.931783,-1.078419,0.002866,0.011385,0.008897,-30.563611,-13.680772,4.692104,4636847009515438100.000000,0.112966,0.737901,-0.042834,0.664008,0.305185,-0.036622,-9.855415,-0.001068,0.002136,0.004214,-17.700735,-19.629505,13.582126,4636846580018708500.000000,0.015688,0.273243,-0.961792,0.006906
1588061834569916,10.011923,-0.294829,-1.091145,0.007801,0.005751,0.026046,-32.138389,-12.907043,3.124226,4636847653760532500.000000,0.010626,0.744993,-0.028621,0.666373,10.042672,0.911389,-1.102832,0.007138,0.012830,0.009262,-30.534445,-13.700727,4.797945,4636847009515438100.000000,0.112932,0.737881,-0.042824,0.664037,0.305856,-0.035281,-9.924619,-0.000951,0.002136,0.003028,-17.705428,-19.634198,13.501388,4636846580018708500.000000,0.015681,0.273234,-0.961795,0.006904
1588061834577728,10.025114,-0.312707,-1.089295,0.013390,0.005999,0.027114,-32.093262,-12.887196,3.068744,4636847653760532500.000000,0.010573,0.744970,-0.028618,0.666400,10.046693,0.936091,-1.110874,0.007829,0.014602,0.009613,-30.506300,-13.647592,4.760461,4636847009515438100.000000,0.112896,0.737856,-0.042812,0.664071,0.318064,-0.013551,-9.925291,0.000951,0.002254,0.000000,-17.781484,-19.719659,13.501388,4636846580018708500.000000,0.015673,0.273237,-0.961794,0.006910
1588061834585540,10.005386,-0.305185,-1.083621,0.016842,0.008210,0.027362,-32.121371,-12.972641,3.076266,4636847653760532500.000000,0.010509,0.744942,-0.028607,0.666433,10.046693,0.968548,-1.119059,0.008909,0.014954,0.009613,-30.620892,-13.680758,4.724265,4636847009515438100.000000,0.112857,0.737831,-0.042797,0.664106,0.330938,-0.036622,-9.935489,-0.001068,0.004214,0.000059,-17.692040,-19.795726,13.490687,4636846580018708500.000000,0.015675,0.273240,-0.961794,0.006910
